Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,Houston,US,DP-13000,Darren Powers,1/3/2021,US-2021-103800,77095,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,1,Consumer,1/7/2021,Standard Class,Texas,Paper,0.2,5.5512,2,16.448
Office Supplies,Naperville,US,PO-19195,Phillina Ober,1/4/2021,US-2021-112326,60540,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Central,2,Home Office,1/8/2021,Standard Class,Illinois,Binders,0.8,-5.487,2,3.54
Office Supplies,Naperville,US,PO-19195,Phillina Ober,1/4/2021,US-2021-112326,60540,OFF-LA-10003223,Avery 508,Central,3,Home Office,1/8/2021,Standard Class,Illinois,Labels,0.2,4.2717,3,11.784
Office Supplies,Naperville,US,PO-19195,Phillina Ober,1/4/2021,US-2021-112326,60540,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Central,4,Home Office,1/8/2021,Standard Class,Illinois,Storage,0.2,-64.7748,3,272.736
Office Supplies,Philadelphia,US,MB-18085,Mick Brown,1/5/2021,US-2021-141817,19143,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,5,Consumer,1/12/2021,Standard Class,Pennsylvania,Art,0.2,4.884,3,19.536
Furniture,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,South,6,Home Office,1/10/2021,Standard Class,Kentucky,Chairs,0,746.4078,9,2573.82
Office Supplies,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,South,7,Home Office,1/10/2021,Standard Class,Kentucky,Art,0,1.4796,2,5.48
Office Supplies,Athens,US,JO-15145,Jack O'Briant,1/6/2021,US-2021-106054,30605,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,8,Corporate,1/7/2021,First Class,Georgia,Art,0,5.2398,3,12.78
Office Supplies,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,South,9,Home Office,1/10/2021,Standard Class,Kentucky,Binders,0,274.491,2,609.98
Office Supplies,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",South,10,Home Office,1/10/2021,Standard Class,Kentucky,Fasteners,0,0.311200000,4,31.12
Office Supplies,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,South,11,Home Office,1/10/2021,Standard Class,Kentucky,Paper,0,3.0084,1,6.54
Office Supplies,Los Angeles,US,LS-17230,Lycoris Saunders,1/6/2021,US-2021-130813,90049,OFF-PA-10002005,Xerox 225,West,12,Consumer,1/8/2021,Second Class,California,Paper,0,9.3312,3,19.44
Technology,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,13,Home Office,1/10/2021,Standard Class,Kentucky,Phones,0,204.1092,4,755.96
Technology,Henderson,US,ME-17320,Maria Etezadi,1/6/2021,US-2021-167199,42420,TEC-PH-10004977,GE 30524EE4,South,14,Home Office,1/10/2021,Standard Class,Kentucky,Phones,0,113.6742,2,391.98
Furniture,Huntsville,US,VS-21820,Vivek Sundaresam,1/7/2021,US-2021-105417,77340,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,15,Consumer,1/12/2021,Standard Class,Texas,Furnishings,0.6,-53.7096,3,76.728
Office Supplies,Huntsville,US,VS-21820,Vivek Sundaresam,1/7/2021,US-2021-105417,77340,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,16,Consumer,1/12/2021,Standard Class,Texas,Binders,0.8,-18.2525,7,10.43
Office Supplies,Laredo,US,MS-17830,Melanie Seite,1/9/2021,US-2021-135405,78041,OFF-AR-10004078,Newell 312,Central,17,Consumer,1/13/2021,Standard Class,Texas,Art,0.2,1.168,2,9.344
Technology,Laredo,US,MS-17830,Melanie Seite,1/9/2021,US-2021-135405,78041,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Central,18,Consumer,1/13/2021,Standard Class,Texas,Accessories,0.2,9.75,3,31.2
Furniture,Springfield,US,AJ-10780,Anthony Jacobs,1/10/2021,US-2021-149020,22153,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,19,Corporate,1/15/2021,Standard Class,Virginia,Furnishings,0,21.2954,1,51.94
Office Supplies,Springfield,US,AJ-10780,Anthony Jacobs,1/10/2021,US-2021-149020,22153,OFF-LA-10004272,Avery 482,South,20,Corporate,1/15/2021,Standard Class,Virginia,Labels,0,1.3583,1,2.89
Furniture,Dover,US,SV-20365,Seth Vernon,1/11/2021,US-2021-130092,19901,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",East,21,Consumer,1/14/2021,First Class,Delaware,Furnishings,0,3.0814,2,9.94
Furniture,San Francisco,US,BD-11605,Brian Dahlen,1/13/2021,US-2021-157147,94109,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",West,22,Consumer,1/18/2021,Standard Class,California,Bookcases,0.15,3.929400000,3,333.999
Furniture,Mount Pleasant,US,ND-18370,Natalie DeCherney,1/13/2021,US-2021-109232,29464,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,South,23,Consumer,1/16/2021,Second Class,South Carolina,Chairs,0,87.3504,6,545.94
Office Supplies,San Francisco,US,BD-11605,Brian Dahlen,1/13/2021,US-2021-157147,94109,OFF-AR-10003514,4009 Highlighters by Sanford,West,24,Consumer,1/18/2021,Standard Class,California,Art,0,6.567,5,19.9
